layer,expert,mean_utilization,sample_std,seed_count
model.14.m.0,LocalConvTransformer,0.426617187500,0.067002354367,5
model.14.m.0,WindowTransformer,0.254656250000,0.073575160568,5
model.14.m.0,DeformableTransformer,0.318726562500,0.071213703481,5
model.14.m.1,LocalConvTransformer,0.253949218750,0.077599882427,5
model.14.m.1,WindowTransformer,0.437175781250,0.136937821555,5
model.14.m.1,DeformableTransformer,0.308875000000,0.120827089995,5
model.20.m.0,LocalConvTransformer,0.288710937500,0.124963451383,5
model.20.m.0,WindowTransformer,0.099554687500,0.110153886832,5
model.20.m.0,DeformableTransformer,0.611734375000,0.052420977021,5
model.20.m.1,LocalConvTransformer,0.320476562500,0.220824807268,5
model.20.m.1,WindowTransformer,0.405769531250,0.237942577824,5
model.20.m.1,DeformableTransformer,0.273753906250,0.228875174705,5
model.23.m.0,LocalConvTransformer,0.938078125000,0.138461521794,5
model.23.m.0,WindowTransformer,0.000000000000,0.000000000000,5
model.23.m.0,DeformableTransformer,0.061921875000,0.138461521794,5
model.23.m.1,LocalConvTransformer,0.200000000000,0.447213595500,5
model.23.m.1,WindowTransformer,0.400000000000,0.547722557505,5
model.23.m.1,DeformableTransformer,0.400000000000,0.547722557505,5
